id;author;original_title;language;address;placement_year;details;dutch_title;address_detail
15;�lvaro de Campos;�s vezes...;Portugees;Vliet 46;1993;geen;(Soms heb ik...);(hoek Kampersteeg)
16;Carlos Drummond de Andrade;Papel;Portugees;Middelstegracht 87;1993;geen;(Papier);EMPTY
17;Frederik van Eeden;De waterlelie;Nederlands;Valkenhorst 30;1994;"Het woord ""is"" dat in de tweede regel tussen ""blank"" en ""en"" dient te staan, is vergeten.";EMPTY;EMPTY
18;Willem Hussem;Zet het blauw...;Nederlands;Kaiserstraat 24;1994;geen;EMPTY;EMPTY
19;Konstant�nos Kav�fis;Κρυμμενα;Grieks;Turfmarkt 6;1994;geen;(Verborgenheden);(hoek Caeciliastraat)
20;Pierre Reverdy;Feuille ouverte;Frans;Haven 3A;1994;Een eerdere versie was uitgevoerd met een geometrische figuur;(Geopend blad);EMPTY
21;Hendrik Marsman;Val;Nederlands (Duits);Zoeterwoudsesingel 42;1994;geen;EMPTY;EMPTY
22;Guillaume Apollinaire;Loin du pigeonnier;Frans;Middelstegracht (hoek Kloosterpoort);1994;De originele schildering uit 1994 met een witte achtergrond is in 2006 vervangen door een nieuwe versie met gele achtergrond.;(pseudoniem voor Guillelmus Albert Vladimir Alexandre Apollinaris de Kostrowitzki);(Ver van de duiventil)
23;E.E. Cummings;The hours rise up;Engels;Nieuwe Rijn 36;1994;"Het gedicht verdween in 2005 bij een schilderbeurt, maar werd daarna opnieuw aangebracht. Het getal ""23"" refereert aan het feit dat het het 23e gedicht in het project was.";(De uren rijzen);(hoek Beschuitsteeg)
24;Langston Hughes;Danse Africaine;Engels;Nieuwe Rijn 46;1994;geen;(hoek Hartesteeg);EMPTY
25;Matsuo Bash?;Araumiya;Japans;Rapenburg 75;1994;Bij een schilderbeurt van de muur in juli 2006 is het gedicht overschilderd, het is inmiddels opnieuw aangebracht;(Een woedende zee!);(hoek Nonnensteeg)
26;Jorge Luis Borges;El apice;Spaans;Groenhovenstraat 18;1994;Het muurgedicht werd tot de winter 2002-2003 geflankeerd door een piramidevormige naaldboom. Het gedicht is in 2020 overschilderd.;(De top);EMPTY
27;Octavio Paz;Aqui;Spaans;Zonneveldstraat 18;1994;geen;(Hier);EMPTY
28;Konrad Bayer;Franz War;Duits;Kaasmarkt 4;1994;geen;EMPTY;EMPTY
29;Josef Sarig;???????;Hebreeuws;Herengracht 47;1995;geen;(Weegschaal);EMPTY
30;Jabra Ibrahim Jabra;Als een poolwinter;Arabisch;Berlagestraat 13a;1995;geen;EMPTY;EMPTY
31;Chairil Anwar;Aku;Indonesisch;Kernstraat 17a;1995;geen;(Ik);EMPTY
32;Tadeusz R�?ewicz;Pisa?em;Pools;Oude Vest 79 (hoek Mirakelsteeg);1995;Het origineel uit 1995 met olijfgroene letters is eerst vervangen door een versie met donkerblauwe letters en later door deze versie met witte letters op een rode achtergrond.;(Ik schreef);EMPTY
33;Jan van Hout;Vruntschap;Nederlands;Buitenruststraat 1 (hoek Drie Octoberstraat);1995;geen;(Vriendschap);EMPTY
34;William Butler Yeats;A coat;Engels;Lange Mare 31-33;1995;geen;(Een jas);EMPTY
35;J.H. Krchovsk�;Na sam�m konci;Tsjechisch;Ververstraat 10;1995;Bij een schilderbeurt van de muur in 2004 is het gedicht overschilderd.;(Helemaal aan het eind);(hoek De Bleek)
36;Salvador Espriu i Castell�;Pluja;Catalaans;Rijn en Schiekade 125 (hoek Telderskade);1995;Beschadigd door overgroei van klimop;(Regen);EMPTY
37;Paul van Ostaijen;Mobile;Nederlands;Boerhaaveplein 44;1995;geen;EMPTY;EMPTY
38;Lucebert;Po�zie is kinderspel;Nederlands;Apollolaan 262;1995;zowel tekst als ondergrond zijn anno 2016 zo goed als verdwenen;(pseudoniem voor L.J. Swaanswijk);EMPTY
39;Seiichi Niikuni;? ?;Japans;Pieterskerkgracht 17;1996;geen;(Rivier/zandbank);EMPTY
40;Jan Eijkelboom;O;Nederlands;4e Binnenvestgracht;1996;geen;(hoek Geregracht);EMPTY
41;Neeltje Maria Min;Mijn moeder is mijn naam vergeten;Nederlands;Rijn- en Schiekade 74;1996;De oorspronkelijke schildering uit 1996 is inmiddels bij een renovatiebeurt van het huis overschilderd, maar opnieuw aangebracht.;EMPTY;EMPTY
42;William Carlos Williams;Riposte;Engels;Breestraat 81;1996;Dit gedicht is bij het overschilderen van de muur in 2012 verdwenen.;(hoek Diefsteeg);EMPTY
43;Sappho;Eenmaal;Grieks;Oude Singel 126;1996;geen;(hoek Volmolengracht);EMPTY
44;Lu�s Vaz de Cam�es;zonder titel;Portugees;Lange Mare 71a;1996;Dit gedicht is bij het overschilderen van de muur in 2002 verdwenen.;(hoek Clarensteeg);EMPTY
45;Velimir Chlebnikov;Когда умирают кони...;Russisch;Apothekersdijk 26;1996;"Zowel in de eerste als de tweede regel van het gedicht is in het woord ??????? (zij sterven) de ""?"" vergeten.";(Als paarden sterven);EMPTY
46;J. Bernlef;zonder titel;Nederlands;Sint Ursulasteeg 28 (deel 1);1997;geen;(pseudoniem voor Hendrik Jan Marsman);Caeciliasteeg (deel 2)
47;Gerrit Achterberg;Kleine ode aan het water;Nederlands;Rijnkade 8;1997;geen;EMPTY;EMPTY
48;Vallana;zonder titel;Sanskriet;Haagweg 14;1997;geen;(hoek Potgieterlaan);EMPTY
49;Trefossa;Gronmama;Sranantongo;Pelikaanstraat 9;1997;De originele schildering werd in 2004 overschilderd, maar is inmiddels opnieuw aangebracht.;(pseudoniem voor Henri Frans de Ziel);(Van der Werffstraat, Lege Werfsteeg)
50;Ranggawarsita;serat Kalatidha;Javaans;Kraaierstraat 34;1997;Ranggawarsita (1802�1873) was hofdichter te Surakarta;(Een duistere tijd);(hoek Haverstraat)
51;Anna Achmatova;Муза;Russisch;Johan de Wittstraat 57;1997;Het originele gedicht had een paarse achtergrond met turquoise letters. Vanwege esthetische bezwaren van buurtbewoners werd (na inspraakavonden onder leiding van wethouder Alexander Pechtold) de versie met de paarse achtergrond in 1999 verwijderd. Na enige tijd werd een nieuwe versie aangebracht met goudkleurige letters.;(Muze);EMPTY
52;Nasir Kazmi;zabaa.N suKhan ko;Urdu;Burgsteeg 12;1997;De achternaam van de dichter is abusievelijk met een extra -a- gespeld;(De tong zal het woord missen);EMPTY
53;Judith Herzberg;Spreeuw;Nederlands;Boshuizerlaan 5;1997;De originele schildering kreeg in 2008 een opknapbeurt en werd opnieuw aangebracht.;EMPTY;EMPTY
54;Chr. J. van Geel;Bewogen;Nederlands;Hogewoerd 77;1997;geen;EMPTY;EMPTY
55;Osip Mandelstam;Ленинград;Russisch;Haagweg 29;1997;De toenmalige eigenaar van Haagweg 29 had bijzondere voorkeur voor het gedicht Leningrad. Voorvaderen van de eigenaar waren zogenaamde Rusluie, inwoners van Vriezenveen (Ov), die - reizend per huifkar - handelsbetrekkingen onderhielden met Sint-Petersburg, de toenmalige hoofdstad van Rusland. Leningrad was van 1924 tot 1991 de naam van Sint-Petersburg.;(Leningrad);EMPTY
56;Christophle Plantin;Le bonheur de ce monde;Frans;Hooigracht 106A;1998;geen;(Het werelds geluk);(hoek Kaasmarkt)
57;Jan Arends;zonder titel;Nederlands;Botermarkt 12;1998;Dit gedicht werd in het voorjaar 2005 overgeschilderd. Het is in mei 2009 opnieuw aangebracht.;(hoek Choorlammersteeg);EMPTY
58;Herman Gorter;Blauw (vlamt de lucht);Nederlands;Uiterstegracht 62;1998;Het gedicht is in 2024 verdwenen (overgeschilderd).;EMPTY;EMPTY
59;John Keats;On death;Engels;Breestraat 113;1998;Het gedicht bevond zich tot eind 2018 binnen, in boekhandel Van Stockum.;(Op de dood);EMPTY
60;Pierre de Ronsard;A son �me;Frans;Klokpoort;1998;Het originele gedicht aan de Oostdwarsgracht is thans verwijderd en verplaatst naar de hoek Klokpoort/Oude Singel, waar het gedicht in nieuwe stijl is herrezen.;(Aan haar ziel);(hoek Oude Singel)
61;Leo Vroman;In 14 boeken;Nederlands;Plantsoen 1;1998;geen;EMPTY;EMPTY
62;Marinus van der Lubbe;O, Arbeid;Nederlands;Van der Lubbehof 1;1998;Het gedicht werd kort na de onthulling beschermd door middel van gaas, aangezien de muur waarop het gedicht was aangebracht gelegen was langs een voetbalveldje. Dit gaas werd daarna vervangen door tralies.;EMPTY;EMPTY
63;Ingrid Jonker;Die kind wat dood geskiet is deur soldate by Nyanga;Afrikaans;Trix Terwindstraat 4-6;1998;geen;EMPTY;EMPTY
64;Elisabeth Eybers;Taalles;Afrikaans;Anne Frankschool, Zuster Meijboomstraat 2;1998;geen;EMPTY;EMPTY
65;Antony Kok;Jagadada;Nederlands;Damlaan 1;1998;Het gedicht is als gevolg van de sloop van de gymzaal waarop het was aangebracht in 2004 verdwenen, maar in april 2010 opnieuw aangebracht.;EMPTY;EMPTY
66;Adam Mickiewicz;Bajdary;Pools;Haarlemmerweg 5a;1998;Het muurgedicht werd in de zomer van 2011 opnieuw aangebracht.;(Het Dal van Bajdaar);EMPTY
67;Pablo Neruda;XXIV - Testamento (II);Spaans;Breestraat 99;1998;Aangebracht ter gelegenheid van het afscheid van burgemeester Cees Goekoop.;(XXIV - Testament (II));EMPTY
68;Paul Marijnis;Zwarte zwanen;Nederlands;Hogewoerd 158;1999;geen;EMPTY;EMPTY
69;Arthur Rimbaud;Sensation;Frans;Rembrandtstraat 27;1999;geen;(Gevoel);EMPTY
70;Wis?awa Szymborska;Pochwa?a z?ego o sobie mniemania;Pools;Maresingel 54;1999;geen;(Lof van de geringe eigendunk);EMPTY
71a;anoniem;Hebban olla vogala;Oudnederlands;Rapenburg 70-74;1999;Het gedicht bevindt zich in het trappenhuis van de oude Universiteitsbibliotheek Leiden;EMPTY;EMPTY
71b;Albert Verwey;Stoa;Nederlands;Rapenburg 70-74;1999;Het gedicht bevindt zich in de tuin van de oude Universiteitsbibliotheek Leiden;EMPTY;EMPTY
72;Pieter Jelles Troelstra;Maaie op it iis;Fries;Weddesteeg 4;1999;De Friese vlag op de achtergrond is een kwartslag naar rechts gedraaid.;(Mei op het ijs);(hoek Galgewater)
73;Hendrik de Vries;Een schatrijke tuin;Nederlands;Alo�laan 41;2000;"Het oorspronkelijke gedicht aan de Alo�laan 41 is inmiddels verdwenen. Het gedicht werd in 2000 aangebracht op een huis dat door de gemeente Leiden genomineerd was om te zijner tijd te worden gesloopt en te worden vervangen door het zogeheten Oranjerieproject. Stichting Tegen-Beeld mengde zich in de discussie om het kleine stukje overgebleven groen rondom de woning door uit protest het gedicht van De Vries aan te brengen, met als treffende laatste regel ""wie deze tuin indringt, zal nimmer keren."" Ondanks langdurige protesten van omwonenden werd het pand op 5 juli 2001 gesloopt. Vijf jaar later werd hetzelfde gedicht, in een andere vorm opnieuw op een muur in de Alo�laan aangebracht.";EMPTY;EMPTY
74;Fakir Baykurt;Gelincikler;Turks;Havikhorst 1;2000;Dit gedicht is van de muur verwijderd.;(Klaprozen);EMPTY
75;Cees van Hoore;Avond op het land;Nederlands;Kiekendiefhorst 1;2000;Het gedicht is anno 2018 van de muur verwijderd.;EMPTY;EMPTY
76;Jit Narain;zonder titel;Sarnami Hindoestani;Sperwerhorst 41;2000;Dit gedicht is van de muur verwijderd;(pseudoniem voor Djietnarainsingh Baldewsingh);EMPTY
77;Elwalid Mimoun;Idurar n-arrif;Berbers;Wiekelhorst 41;2000;Dit gedicht is van de muur verwijderd.;(De bergen van de Rif);EMPTY
78;Kees Buurman;Vlieger (2);Nederlands;Broekplein 2;2000;geen;EMPTY;EMPTY
79;Du Fu;Kexi;Chinees;Buizerdhorst 22;2000;Beplating kopse kant Buizerdhorst is, inclusief het erop aangebrachte gedicht, verwijderd op 4 juli 2019.;(Helaas);EMPTY
80;anoniem;zonder titel;Buginees;Reuvensplaats 2;2001;"De vertaling van het gedicht luidt ""Gereisd heb ik, overal, maar nooit trof mijn oog groter wijsheid dan hier""";EMPTY;EMPTY
81;Derek Walcott;Omeros;Engels;Reuvensplaats 2;2001;geen;EMPTY;EMPTY
82;Sugawara no Michizane;zonder titel;Japans;Rapenburg 73;2002;Het gedicht bevindt zich nabij de toegangspoort van de Hortus botanicus Leiden, aan de zijde van de botanische tuin.;EMPTY;EMPTY
83;J.J. Slauerhoff;'T ZWERK ligt terneergeslagen;Nederlands;Utrechtse Jaagpad 3;2002;geen;EMPTY;EMPTY
84;Robert Desnos;Art rythm�, tic/Lit temps nie;Frans;Kagerstraat 7;2002;geen;(Aritmische algebra/Slapend sleepliedje);EMPTY
85;Martinus Nijhoff;Het kind en ik;Nederlands;Formosastraat 33 en 48;2002;geen;EMPTY;EMPTY
86;Nils Ferlin;Stj�rnorna kvittar det lika;Zweeds;De Sitterlaan 18;2003;geen;( 't Is de sterren om het even);(hoek Van der Waalsstraat)
87;Charles Baudelaire;� une passante;Frans;Zoeterwoudsesingel 55;2003;geen;(In het voorbijgaan);EMPTY
88;Filippo Tomasso Marinetti;Zang Tumb Tumb;Italiaans;Hoge Rijndijk 8;2003;geen;EMPTY;EMPTY
89;Francisco G�mez de Quevedo y Villegas;�Ves, con el oro;Spaans;Sint Pancrassteeg 2;2003;geen;(XXI);(hoek Middelweg)
90;Paul Celan;Nachmittag mit Zirkus und Zitadelle;Duits;Middelweg 19;2003;"""Zitadelle"" is in het gedicht abusievelijk met een ""c"" gespeld (""Citadelle)";(Middag met circus en citadel);EMPTY
91;Dylan Thomas;Was there a time;Engels;Lage Rijndijk 96;2003;geen;(Was er ooit een tijd);EMPTY
92;Ibon Sarasola;Bi blueri buruz;Baskisch;Multatuliplein 3;2003;geen;(Over de blues);EMPTY
93;Cornelis Bastiaan Vaandrager;Nederlandse Spoorwegen;Nederlands;Morsweg 16;2003;Het gedicht is in spiegelbeeld aangebracht, in de NS-huisstijlkleuren. Een spiegel aan de andere zijde van het portiek waar het gedicht zich bevindt, maakt het lezen ervan mogelijk (zie hier voor een leesbare versie van het gedicht).;EMPTY;EMPTY
94;Cesare Simonetti;Treno in corsa;Italiaans;Pelikaanstraat;2004;geen;(hoek Oude Vest);EMPTY
95;Hugo Claus;De aarde danst op haar wolken;Nederlands;Geregracht 1;2004;Het gedicht werd aangebracht in het kader van de 75e verjaardag van Hugo Claus.;(hoek Levendaal);EMPTY
96;Chris Abani;Ode to joy;Engels;Levendaal 81;2004;geen;(Ode aan de vreugde);(hoek Geregracht)
97;J�nos Pilinszky;A m�lypont �nnep�lye;Hongaars;Rijnsburgerweg 144;2004;Het originele Hongaarse gedicht op de zijmuur van de woning op nummer 144. (Dit origineel is omstreeks 2021 verwijderd.);(Feest van het dieptepunt);(hoek Lijsterstraat)
97-bis;J�nos Pilinszky;A m�lypont �nnep�lye;Hongaars;Rijnsburgerweg 146;2004;Nederlandse vertaling op de zijmuur van Rijnsburgerweg 146.;(Feest van het dieptepunt);(hoek Lijsterstraat)
98;Horatius;Boek I Ode XIV;Latijn;Cleveringaplaats 1;2004;geen;EMPTY;EMPTY
99;Nora Kalna;J?rai;Lets;Scheepmakersteeg 2;2005;Dit gedicht is bij het overschilderen van de muur in 2012 verdwenen. Het was op dinsdag 18 januari 2005 onthuld door de president van Letland, mevrouw Vaira Vike-Freiberga, in aanwezigheid van koningin Beatrix.;(Aan de zee);(hoek Rapenburg)
100;Waring Cuney;Charles Parker, 1920-1955;Engels;Langegracht 72;2005;geen;EMPTY;EMPTY
101;Federico Garc�a Lorca;De profundis;Spaans;Langebrug;2005;Het gedicht bevindt zich op de oostmuur van het Kamerlingh Onnes Gebouw.;(hoek Zonneveldstraat);EMPTY
102;Sjota Roestaveli;De ridder in het pantervel;Georgisch;Witte Singel;2010;geen;(hoek Witte Rozenstraat);EMPTY
103;Danila Stoyanova;Regen, meer en wind;Bulgaars;Breestraat;2011;geen;(hoek Ketelboetersteeg);EMPTY
104;Kurt Schwitters;Wij w88888888;Nederlands;Surinamestraat;2013;geen;EMPTY;EMPTY
105;Willem Wilmink;Spelende meisjes;Nederlands;Maredijk;2013;Offici�le onthulling woensdag 12 juni 2013, 19.30 uur, ter gelegenheid van het vierde eeuwfeest van de Maredijkbuurt van 8 t/m 15 juni 2013.;(hoek Poelgeeststraat);EMPTY
106;Arie Visser;Met licht schrijven;Nederlands;Maredijk 19c;2013;Offici�le onthulling woensdag 12 juni 2013, 19.30 uur, ter gelegenheid van het vierde eeuwfeest van de Maredijkbuurt van 8 t/m 15 juni 2013.;EMPTY;EMPTY
107;Adonis;Day�;Arabisch;Papengracht 40;2013;"""To commemorate 400 years of Arabic Studies in Leiden (1613-2013).""";(Dat wat verloren gaat);EMPTY
108;Cees van Hoore;Het woord is machteloos;Nederlands;Vismarkt;2014;Cees van Hoore schreef op verzoek van de gemeente Leiden de tekst voor het 108e muurgedicht (bestaande uit zes afzonderlijke teksten), dat in opdracht van de gemeente is aangebracht op een zijmuur van het stadhuis door de stichting Tegen-Beeld. Het werd op 24 juni 2014 onthuld door burgemeester Henri Lenferink.;EMPTY;EMPTY
109;Johann Wolfgang von Goethe;Natur und Kunst;Duits;Veerstraat / Plantage;2014;Initiatief van dispuut Faust van studentvereniging Augustinus, onthuld 11 september 2014 (�Als blijvend geschenk en eerbetoon aan de stad Leiden en haar inwoners, ter ere van ons 20-jarig bestaan.�).;EMPTY;EMPTY
110;M. Vasalis;Eb;Nederlands;Doelensteeg;2015;Aangebracht juni 2015 ter gelegenheid van de 115e Di�s van de Vereeniging van Vrouwelijke Studenten te Leiden (VVSL).;EMPTY;EMPTY
111;Mohammad-Reza Shafiei Kadkani;Goede reis;Perzisch;Clarensteeg;2015;Onthuld op donderdag 4 juni 2015 door Asghar Seyed-Gohrab en persoonlijk ondertekend door de dichter.;EMPTY;EMPTY
112;Guillermo E. Rosario;Ma;Papiaments;Vestwal 2-4, Leiden;2017;sept. 2017;EMPTY;EMPTY
113;Wim Emmerik;Polder;Nederlandse Gebarentaal;Hortus Botanicus, Leiden;2017;"Video-installatie met gedicht in gebarentaal. ""Onthuld"" op zaterdag 14 oktober 2017 door Pepijn Reeser. Installatie verwijderd in 2024.";EMPTY;EMPTY
114;Volksliedje;Shchedryk;Oekra�ens;hoek Fagelbergstraat 50 / van Ledenberchstraat, Leiden;2025;Onthuld op zondag 5 oktober 2025;EMPTY;EMPTY
